Company,Domain,Description,Preferred Stage,Preferred Sector
Menlo Ventures,menlovc.com,"Menlo Ventures is a Bay Area venture capital firm investing in early-stage technology companies, with a strong focus on transformative technologies and a successful track record in consumer, enterprise, and healthcare sectors.","Seed, Series A, Early Stage","Healthcare, Consumer, Enterprise"
Launchpad Capital,launchpad.vc,"Launchpad Capital is a venture capital firm specializing in early-stage Fintech investments, driving innovation in the financial services sector with a focus on the FIRE economy.","Angel, Seed, Early Stage",FinTech
Tusk Venture Partners,tusk.vc,"Tusk Venture Partners specializes in investing in early-stage consumer technology startups that operate within heavily regulated markets across North America, leveraging its expertise in regulatory risk to support founders in navigating these challenges.","Angel, Seed, Early Stage","FinTech, Consumer"
Unshackled Ventures,unshackledvc.com,"Unshackled Ventures is an early-stage venture fund dedicated to investing in foreign-born founders, aiming to unlock the potential of immigrants and support their entrepreneurial journeys in the United States.","Angel, Pre-Seed, Seed, Series A, Early Stage","FinTech, Consumer"
Your Site Title,ltng.ventures,"Lightning Ventures is a Bitcoin-focused venture capital firm that invests in software, hardware, mining & energy companies in the Bitcoin space. Their mission is to support the next generation of market-defining Bitcoin companies through investing and ...","Seed, Series A, Early Stage","Crypto, Blockchain, FinTech"
Modern Venture Partners,mvp-vc.com,"MVP Ventures partners with elite early-stage teams to build defensible technology, aiming to provide the highest value per dollar on the cap table.","Angel, Seed, Early Stage",
Differential Ventures,differential.vc,Differential Ventures is a NYC-based AI-focused VC fund led by data scientists investing in data-centric B2B tech startups to harness the full value of data.,"Seed, Series A, Early Stage, Growth Stage","AI, Enterprise, Big Data"
Consero Global,em9967.conseroglobal.com,"Consero Global is a pioneer in Finance as a Service (FaaS), offering cutting-edge financial and accounting solutions to small and mid-market companies. Backed by BV Investment Partners, Consero revolutionizes the way businesses achieve financial clarit...",,"FinTech, Enterprise, Cloud Computing"
Framework Ventures,framework.ventures,Framework (framework.ventures) is a technology company that invests in and supports open blockchain networks through product development and services.,,Blockchain
Boğaziçi Ventures,bogaziciventures.com,"Boğaziçi Ventures is a technology-focused investment firm that supports companies in their business processes by leveraging technology and digitalization. With a disruptive and innovative approach, we provide top-level support for international growth ...",,
Sequoia Capital,sequoiacap.com,Sequoia Capital is a venture capital and private equity firm that helps daring founders build legendary companies from idea to IPO and beyond. With over 45 years of experience and a network that includes successful entrepreneurs like Steve Jobs and Elo...,"Seed, Series A, Series B, Early Stage, Growth Stage, Late Stage",
C² Ventures,csquared.vc,"C² Ventures is an investment firm specializing in building and investing in #Web3 companies. With a deep understanding of exchange listings and strong relationships with founders and developers globally, we provide access to exclusive deals and liquidi...","Angel, Seed, Series A, Series B, Early Stage",Web3
Zeal Capital Partners,zealvc.co,"Zeal Capital Partners is a venture capital fund that invests in diverse management teams reimagining the building blocks of wealth, focusing on education, employment, financial health, and health equity. They target high-growth companies in the FinTech...","Seed, Series A, Early Stage, Growth Stage",FinTech
AAF Management Ltd.,aaf.vc,"AAF Management Ltd. is a leading early stage venture capital firm investing in technology companies in North America with a focus on Fintech, SaaS, Healthcare, E-Commerce, and Deep Tech. They have a diverse portfolio of over 120 companies and $180M in ...","Angel, Seed, Series A, Early Stage","AI, FinTech, Healthcare"
Antler,antler.co,"Antler is a global early-stage venture capital firm that empowers exceptional founders to build and scale startups from day zero. With a presence in 25 cities across six continents, Antler provides founders with access to a global community, expert adv...","Angel, Pre-Seed, Seed, Series A, Early Stage","AI, FinTech, Healthcare, Consumer, Cloud Computing, Social Media, E-Commerce / Marketplaces"
MANTIS Venture Capital,mantisvc.com,"Mantis operates as an early-stage venture fund, collaborating with The Chainsmokers to invest in innovative startups and technologies.","Angel, Seed, Early Stage","AI, Blockchain, FinTech, Consumer, Cloud Computing, E-Commerce / Marketplaces"
Techstars,techstars.com,"Techstars is a global startup network that accelerates success for entrepreneurs through mentorship, investment, and innovation, supporting over 1,000 companies with a market cap of $8.1 billion.","Seed, Series A, Early Stage",
Apeiron Investment Group,apeiron-investments.com,"Apeiron Investment Group is a family office and private investment firm led by entrepreneur Christian Angermayer. They invest in companies shaping the Next Human Agenda, focusing on Life Sciences, FinTech & Crypto, Future Tech, and Experiences.",,"Crypto, FinTech, Biotech / Life Sciences"
Corigin,corigin.com,"Corigin is a privately held, leading real estate investment company based in New York City. Corigin creates growth for clients through insights and innovations in real estate and venture capital. Corigin is a private real estate investment firm that sp...",,
CMT Digital Ventures,cmt.digital,"CMT Digital is an investment firm specializing in crypto asset trading and blockchain technology investments, while also engaging in legal and policy matters to support the growth of digital asset ventures.",,"Crypto, Blockchain"
Original Capital,originalcapital.com,Original Capital: Venture capital and private equity firm specializing in investing in promising businesses.,,
JVP Cyber Labs,jvpvc.com,"Jerusalem Venture Partners (JVP) is an internationally recognized venture capital fund with a focus on Digital Media, Storage, Infrastructure, and Cybersecurity. Established in 1993, JVP has raised over $1.4 billion and has built over 140 companies glo...","Seed, Series A, Series B, Early Stage",Cybersecurity
Athenian Capital,us.athenian.vc,Athenian Capital is a venture capital and private equity firm that invests in early-stage companies.,"Angel, Pre-Seed, Seed, Early Stage",
Uncork Capital,uncorkcapital.com,"Uncork Capital is a seed stage venture firm that focuses on early investments, providing essential support to startups during challenging phases, and maintaining long-term involvement to foster their growth.","Angel, Pre-Seed, Seed, Early Stage","FinTech, E-Commerce / Marketplaces"
Sand Hill Angels,sandhillangels.com,Sand Hill Angels: Silicon Valley executives investing in disruptive startups with 'Smart Money' and expertise in deep technology scaling.,"Angel, Seed, Series A, Early Stage","AI, Blockchain, FinTech, Healthcare, Big Data, Cloud Computing, Cybersecurity, Climate Tech, Robotics"
Caladan Capital,caladan.xyz,"Caladan is a pioneering market maker in digital assets, utilizing thousands of algorithms to generate exceptional returns across over 1,000 digital assets and 65 exchanges, both centralized and decentralized, since 2017.",,"Crypto, Blockchain, FinTech"
DASH Ventures,dashventures.com,"DASH Ventures is an early stage venture capital firm based in Amman, Jordan, supporting startups in the Arab World and beyond to build sustainable companies in technology, healthcare, and finance.","Pre-Seed, Seed, Series A, Early Stage","FinTech, Healthcare"
Polymath Capital,polymathcp.com,"Polymath Capital is a remote-first venture capital firm that focuses on investing in pre-seed and seed-stage startups, prioritizing community engagement, sustainability, and the democratization of finance while partnering with ambitious founders to fos...","Pre-Seed, Seed",
Riverside Ventures,riversideventures.com,"Riverside Ventures is an early stage venture capital fund founded by high level and experienced operators with an untraditional path into venture. The company focuses on providing venture capital and private equity services, led by Principals with exte...","Angel, Seed, Series A, Early Stage",
1RT Fund,1rtfund.com,"1RoundTable Partners is a growth equity fund specializing in investing in mid to late-stage companies within the Digital Asset Ecosystem (DAE). Leveraging its macro investing process and deep industry knowledge, 1RT aims to provide de-risked exposure t...","Growth Stage, Late Stage","Crypto, Blockchain, FinTech"
Andreessen Horowitz,cryptoevents.a16z.com,"Andreessen Horowitz is a venture capital firm that invests in innovative technology startups, supporting entrepreneurs from seed funding to growth stages to foster the development of the future through software and technology.","Seed, Early Stage, Growth Stage","Web3, Crypto, AI, Blockchain, FinTech"
Extera Partners,exterapartners.com,"Extera Partners specializes in building and commercializing new life science ventures by leveraging unique deal flow, a team of industry leaders, and a robust network of investors to generate substantial financial returns through strategic transactions...","Seed, Series A, Early Stage, Growth Stage","Healthcare, Biotech / Life Sciences"
gumi Cryptos Capital,gumi-cryptos.com,"gumi Cryptos Capital (gCC) is a boutique early stage venture capital firm based in Silicon Valley. Since 2018, gCC has been investing in blockchain and cryptographic assets, supporting innovative projects from L1 to the application layer. With a focus ...","Pre-Seed, Seed, Early Stage","Crypto, Blockchain"
APED Capital,apedcapital.xyz,APED Capital is a venture capital fund that specializes in investing in early stage web3 and blockchain companies. They provide funding and support to help these companies grow and succeed in the digital asset space. With a focus on web3 technologies a...,"Angel, Seed, Early Stage","Web3, Blockchain"
Digital,digital.xyz,"DIGITAL is an investment firm that focuses on digital investing in the metaverse, leveraging a cultural perspective to collaborate with emerging iconic companies by recognizing the significance of stories in shaping the future of technology and society.","Seed, Series A, Early Stage",Metaverse
BaseTwo Ventures,basetwo.com,"BaseTwo is a boutique advisory and venture capital firm specializing in investing in the future of DLT and Web3. With 10 years of experience in digital assets, we help founders design optimal tokenomics principles and connect them with a wide range of ...","Seed, Series A, Early Stage","Web3, DeFi, Blockchain"
DAOventures,daoventures.co,"DAOventures is a web3 ventures studio specializing in DeFi, Metaverse, NFTs, and more, investing in and supporting innovative teams in the web3 space.","Pre-Seed, Seed, Series A, Early Stage","Web3, DeFi, NFTs, Metaverse"
Jolt VC,,,,
2 Punks Capital,2punkscapital.com,"2 Punks Capital is an early stage investment fund targeting web3, metaverse, NFTs, and gaming startups. They focus on companies building the next generation of consumer blockchain technologies and applications, particularly in the areas of art, fashion...","Angel, Seed, Early Stage","Web3, Blockchain, NFTs, Metaverse"
VitalizeVC,vitalize.vc,"VITALIZE Venture Capital specializes in venture capital investments focused on early-stage WorkTech startups, leveraging a diverse community of over 500 angel investors and a network of industry experts to drive transformative work outcomes.","Angel, Pre-Seed, Seed, Series A, Early Stage",Collaboration / Productivity Tools
Matrix Partners,matrixpartners.com,"Matrix Partners is a venture capital and private equity firm that works closely with product people from the early stages to Series A rounds. With a focus on building successful companies, Matrix Partners has a strong track record of investments in inn...","Angel, Seed, Series A, Early Stage","AI, FinTech, Healthcare, Cloud Computing, Cybersecurity, Climate Tech"
Ark PES,arkpes.com,"Ark PES is a scalable, seamless, and secure private capital fund administration platform tailored for industry leaders in private capital markets.",,E-Commerce / Marketplaces
DUO Group,duogrp.com,,,
Lerer Hippeau,lererhippeau.com,"Lerer Hippeau: Early stage VC in NYC, investing in innovative startups to build iconic companies with hands-on support and community spirit.","Angel, Seed, Series A, Early Stage",
Fusion LA,fusion-vc.com,"Fusion VC is Israel's leading pre-seed platform, investing in Israeli early-stage companies to scale in the US market. They provide $150,000 in funding, intensive bootcamps, and support from top-tier global VC firms and serial founders.","Pre-Seed, Early Stage","FinTech, Healthcare, Insurtech, Biotech / Life Sciences"
Ogroup,ogroup.io,"OGroup is a company that has been investing and building in the fields of machine learning and crypto since 2010. They connect founders with promising business opportunities, provide operational and strategic expertise, and leverage their network to ac...",,"Crypto, Machine Learning"
Asva Ventures,asvaventures.com,"Asva Ventures is a thesis-driven Web3 fund investing in blockchain companies at early stages, leading and co-investing to accelerate growth in Web 3.0 trends like Defi and NFTs.","Angel, Seed, Early Stage","Web3, DeFi, Blockchain, NFTs"
Harlem Capital Partners,harlem.capital,"Harlem Capital is a venture capital firm based in New York, NY, with a mission to invest in 1,000 diverse founders over 20 years. They focus on early-stage investments and are led by a team including Gabby Cazeau, Jarrid Tingle, Nicole DeTommaso, Brand...","Seed, Series A, Early Stage",
Four Acres,fouracres.vc,"Four Acres Capital is a New York-based early-stage venture capital firm that specializes in investing in software-first technology companies at the pre-seed and seed stages. They offer entrepreneurs access to a wide network of financial, corporate, and...","Pre-Seed, Seed, Early Stage","AI, FinTech, Enterprise, Big Data, Cloud Computing, Cybersecurity, Mobility / Transportation"
Forum Ventures,forumvc.com,Forum Ventures is a leading early-stage B2B SaaS fund and startup accelerator that supports and invests in founders by providing resources and expertise to help them develop successful software-as-a-service ventures from inception to growth.,"Pre-Seed, Seed, Early Stage",E-Commerce / Marketplaces
Plural Energy,plural.xyz,"Plural Energy offers on-chain financing solutions that enable individuals to invest in high-yield clean energy infrastructure projects globally, starting with investments as low as $500.",,Climate Tech
dlab,dlab.vc,Earliest-stage venture capital for web3 startups building the infrastructure of our decentralized future.,"Angel, Pre-Seed, Seed, Early Stage","Web3, Blockchain"
CB Insights,cbinsights.com,"CB Insights is a technology market intelligence company that predicts technology trends and provides insights on venture capital, startups, and tech news.",,
BAD BITCH EMPIRE,fdesp.badbitchempire.com,BAD BITCH EMPIRE is a global community venture collective that elevates visionary female leaders to build empires and invest in high-impact female-led businesses. They provide unapologetic worth and wealth for women through investing in Bad Bitch Busin...,"Angel, Seed, Series A, Early Stage","FinTech, Consumer"
Oceans,oceans.ventures,"Oceans is a seed stage venture capital firm that focuses on supporting and accelerating teams, rather than just individual founders, by leading pre-seed and seed investments and providing guidance on talent recruitment and business model development.","Pre-Seed, Seed",
Contango Digital,contango.digital,Contango Digital Assets is a Canadian venture capital firm fueling the financial revolution by investing in innovative start-ups and accelerating global adoption of decentralized technology.,,"Web3, Crypto, Blockchain, FinTech"
J17 Capital,j17capital.com,"J17 Capital is a venture capital firm specializing in growth equity investments for middle to late-stage entities in North America, focusing on technology, pharmaceuticals, and therapeutics to accelerate business development and innovation.","Growth Stage, Late Stage","AI, Healthcare, Biotech / Life Sciences"
Creator Capital,creatorcapital.io,"Creator Capital is a venture studio that focuses on the creator economy. They provide investment and advisory services to creators and help them build and grow their businesses. With their expertise and network, Creator Capital supports creators in nav...","Angel, Seed, Series A, Early Stage",Creator Economy
Borderless Capital,borderlesscapital.io,"Borderless Capital supports creators driving innovative technologies for borderless value creation, empowering founders and investing in Algorand and EdgeFi ecosystems.",,"AI, Blockchain, FinTech, E-Commerce / Marketplaces"
J&T Ventures,jtventures.cz,"J&T Ventures specializes in investing in exceptional early-stage teams, providing long-term partnerships and strategic guidance to startups, particularly in the areas of growth, fundraising, and international expansion within the CEE region.","Seed, Series A, Early Stage",
Grand Ventures,grandvcp.com,"Grand Ventures is an early-stage venture fund located in Grand Rapids, MI, focused on investing in and supporting innovative startups.","Pre-Seed, Seed, Early Stage",
Exceptionalcap,exceptionalcap.com,We believe in the power of transformative ideas.,,"FinTech, E-Commerce / Marketplaces"
Apollo,apollo.com,"Apollo Global Management is a leading provider of alternative asset management and retirement solutions, empowering retirees and financing businesses with innovative capital solutions for growth and financial security.",,
Emerging LA,em2921.emergingla.com,"Community of IRL events for VCs, founders, & operators in Los Angeles",,
xffirmers,xffirmers.com,"AngelList develops comprehensive software solutions that facilitate capital management and enhance investor relations for startups, venture funds, and private equity firms, thereby driving innovation within the startup economy.","Angel, Seed, Early Stage",
GFR Fund,gfrfund.com,GFR Fund is a venture capital fund based in San Francisco that focuses on investing in early-stage technology startups that are innovating within the digital media and entertainment sectors.,"Angel, Seed, Early Stage","AI, Consumer, Big Data, Creator Economy"
Exitfund,exitfund.com,"Exitfund is a VC and PE firm investing in gritty founders in India & USA, with a software platform for angel investors to participate.","Angel, Seed, Series A, Series B, Early Stage","FinTech, E-Commerce / Marketplaces"
Patron,patron.xyz,"Patron is an early stage venture firm investing in the convergence of games and consumer startups, known as the Spectrum of Play. The team consists of experienced builders and founders dedicated to shaping the future of the industry, with key members h...","Angel, Seed, Early Stage",Consumer
FinTech Collective,fintech.io,"FinTech Collective is a venture capital firm that invests globally in generational companies, focusing on capital markets, wealth management, banking, lending, payments, and insurance. They support founders in building exceptional companies by providin...","Seed, Series A, Early Stage, Growth Stage",FinTech
Target Global,targetglobal.vc,"Target Global is a pan-European tech investment firm with €3bn+ assets under management, backing unicorns like Delivery Hero and Revolut to target trillion-dollar markets.",,
SevenX Ventures,7xvc.com,"SevenX Ventures is a research-driven crypto venture capital firm founded in 2020. The company bridges different cultures and empowers blockchain's united future, focusing on investment management in a world yearning for ownership of identity and data, ...",,"Crypto, Blockchain"
OffStage Holdings,offstageholdings.com,"OffStage Holdings specializes in identifying and investing in innovative startups within the fields of artificial intelligence, blockchain technology, and software as a service, having deployed over $1.5 million in seed investments in 2023.","Angel, Seed","AI, Blockchain, Cloud Computing"
Castle Island Ventures,castleisland.vc,"Castle Island Ventures is an early stage venture capital firm based in Cambridge, Massachusetts, exclusively focused on public blockchains. They invest in infrastructure and application companies to enable transformative protocols for the next billion ...","Angel, Seed, Early Stage",Blockchain
Alpaca VC,alpaca.vc,"Alpaca VC is a seed stage venture capital firm in New York, empowering founders to innovate at the intersection of digital and physical worlds for impactful real-world commerce.","Angel, Seed, Early Stage","Consumer, E-Commerce / Marketplaces"
8186 Capital,8186capital.com,8186 Capital is a Shanghai-based early-stage token fund investing in blockchain ventures and enabling liquidity in the space.,"Pre-Seed, Seed, Early Stage",Blockchain
Candor ventures,candorventures.io,"Candor Ventures is a startup studio and venture builder that partners with founders to build, fund, and scale tech companies. They offer instant B2B payments, handwritten notes, and empower skilled talent.","Seed, Series A, Early Stage",Enterprise
Costanoa Ventures,costanoavc.com,"Costanoa Ventures is an early-stage venture capital firm that specializes in seed and Series A investments. They back technical founders from company formation and provide support to accelerate growth. With a focus on helping startups succeed, Costanoa...","Seed, Series A, Early Stage",Enterprise
Ambition VC,ambition.vc,"Ambition.VC is a venture capital firm that supports founders in building enduring companies and iconic brands. They invest in early-stage technology companies, focusing on marketplaces undergoing massive shifts and technologies that catalyze those shif...","Pre-Seed, Seed, Series A, Early Stage",E-Commerce / Marketplaces
banklessvc,bankless.ventures,"Bankless Ventures is an early stage Web3 Venture fund empowering pioneers to explore the frontier of Web3. With BVCI, a $30M fund, they aim to support innovators in going #bankless.","Angel, Seed, Early Stage","Web3, Crypto, FinTech"
Supernode Ventures,supernode.vc,"Supernode Ventures, founded in 2017 by Laurel Touby, is a pre-series A venture fund specializing in investing in women's health companies and early-stage tech startups across various sectors. With a network of over 50 founders and executives, Supernode...","Pre-Seed, Series A, Early Stage","AI, Healthcare, Consumer"
NFX,nfx.com,NFX is a venture capital firm specializing in pre-seed and seed stage investments. They support exceptional founders in building market-transforming companies and operate as an invite-only guild for digital networks and marketplaces. NFX emphasizes the...,"Pre-Seed, Seed","Creator Economy, E-Commerce / Marketplaces"
Agetech News,agetech.news,"Agetech News: The top source for Agetech news, offering insights on technology for older adults and caregivers, including fundings, exits, and opportunities.",,Healthcare
Gradient Ventures,gradient.com,"Gradient Ventures is a venture capital and private equity firm that specializes in helping founders build transformational AI companies. They provide hands-on support in product development, marketing, sales, and talent acquisition, with expertise in d...","Angel, Seed, Series A, Early Stage",AI
Fundamental Labs,fundamentallabs.com,"CTH is a prominent investment firm focused on harnessing the transformative potential of blockchain technology through venture capital investment, secondary markets, and infrastructure development, aiming to capitalize on the significant benefits of di...",,Blockchain
Ligo Partners LLC,ligopartners.com,"Ligo Partners is a Miami-based single family office co-investing in disruptive tech deals with a global network of investors, focusing on unique and resilient technology investments.","Seed, Series A, Series B, Early Stage, Growth Stage",
Protofund Mortgage,protofund.com,"Protofund is an early stage venture firm founded by builders, for builders. Co-founded by Edward A. Moncada and Jonathan W. Chu, Protofund focuses on providing venture capital and private equity to support innovative startups.","Angel, Seed, Early Stage",
Galaxy Interactive,galaxyinteractive.io,"Galaxy Interactive is an industry-leading global venture capital fund under Galaxy (TSX: GLXY), specializing in investing in video games, digital media, immersive virtual worlds, web3, and technology. With a focus on interactive content, technology, an...","Series A, Series B, Early Stage, Growth Stage, Late Stage",Web3
Pear VC,pear.vc,"Pear VC is an early-stage venture fund that specializes in pre-seed and seed investments, partnering with exceptional founders to transform innovative ideas into category-defining companies.","Pre-Seed, Seed, Early Stage",
Twelve Below,twelvebelow.co,"NYC-based seed VC firm partnering with exceptional founders in fintech, healthcare, and energy sectors to build innovative software and internet businesses.","Angel, Pre-Seed, Seed","FinTech, Healthcare, Consumer"
Atypical Ventures,atypical.vc,Atypical Ventures invests in empathetic engineers who create fundamental building blocks for innovative technologies and solutions.,,"AI, Blockchain, FinTech, Healthcare, Big Data, Cloud Computing, Cybersecurity, Robotics"
Riot Ventures,riot.vc,"Riot Ventures is a VC firm specializing in deep tech investments, offering a range of innovative solutions from program management software to AI fraud detection.",,"AI, FinTech, Enterprise, Big Data, Cloud Computing, Cybersecurity, Robotics"
seasideventures,seasideventures.com,"Seaside Ventures focuses on investing in and guiding innovations in consumer health technology, aiming to enhance mental and physical well-being while addressing longstanding health challenges within the expansive healthcare market.","Angel, Seed, Series A, Early Stage","AI, Healthcare, Consumer"
ANIMO Ventures,animo.vc,"ANIMO Ventures is a venture capital and private equity firm founded by Nico, a seasoned investor with a global perspective. With a background in leading non-profits and angel investing, ANIMO Ventures focuses on early-stage investments, backing innovat...","Angel, Seed, Early Stage",
357 Investments,357investments.com,"357 Investments, founded in 2011, is a boutique private portfolio management team specializing in real estate investments and technology startups. With over ten years of experience in real estate services, including leasing, acquisition, and asset mana...","Seed, Series A, Series B, Early Stage","AI, FinTech, Healthcare, Big Data, Cloud Computing, Robotics"
Picks and Shovels,picksandshovelsvc.com,"Picks and Shovels is an operator-led VC firm specializing in investing in pre-seed and seed-stage startups that provide tools and infrastructure for industries like crypto, fintech, and other less glamorous sectors. They focus on supporting founders wh...","Pre-Seed, Seed","Crypto, FinTech"
Embedded Ventures,embedded.ventures,"Embedded Ventures is an early stage deep tech venture capital firm based in Los Angeles, California. Co-founded by Jenna Bryant and Jordan Noone, the company focuses on investing in early stage startups with applications that can serve the Department o...","Seed, Early Stage","AI, Healthcare, Machine Learning, Cloud Computing, Cybersecurity, Mobility / Transportation, Robotics, Semiconductors, Defense Tech"
CMCC Global,cmcc.vc,"CMCC Global is a venture capital firm that focuses solely on blockchain technology investments. With offices in North America, Asia, and Europe, the company manages multiple funds and has a global presence. It is known for being one of the earliest ins...",,
Grit Capital Partners,grit.vc,"Grit Capital Partners is a disciplined investment firm that operates and invests in innovative companies, including those pioneering applied AI technologies for communication and transforming the sports betting landscape with AI-driven pricing solutions.",,
Influence.vc,influence.vc,InfluenceVentures is a venture capital firm that combines investment syndicate with influencer marketing expertise to drive success for portfolio companies and increase returns for investors. They offer capital and influencer support to their exclusive...,,
